X,Y,u_x,u_y,,,,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy,Status
0,0,0,0,,,,,,0.014573264,2.843195154,0.103825111,-2.853590784,-0.005492365,Elastic
0,0.428571429,0,-0.000319927,,,,,,0.014573264,2.703416562,-1.123751104,-5.439571927,-0.008871863,Elastic
0,0.214285714,0,-0.000165589,,,,,,0.014573264,2.437400175,-3.338174461,-10.42140983,-0.011543043,Elastic
0,0.321428571,0,-0.000244175,,,,,,0.014573264,2.297621583,-4.484347725,-13.04764883,-0.01125403,Elastic
0,0.107142857,0,-8.42E-05,,,,,,0.015303329,1.144482634,-17.00193318,-34.41428571,-0.002103598,Failure
0,3,0,-0.00122827,,,,,,0.015303329,1.004704042,-18.59476226,-36.93172418,-0.001100013,Failure
0,0.428571429,0,-0.000319927,,,,,,0.017300066,2.597255628,-2.01998563,-7.421551633,-0.012476393,Elastic
0,3,0,-0.00122827,,,,,,0.017300066,2.944712609,1.042969847,-0.999283411,-0.002533353,Elastic
0,2.571428571,0,-0.001202725,,,,,,0.017300066,2.195722348,-5.329733966,-14.95815535,-0.012575168,Elastic
0,2.785714286,0,-0.001221795,,,,,,0.017300066,2.54317933,-2.468713897,-8.435008867,-0.013123041,Elastic
0,2.892857143,0,-0.001226595,,,,,,0.018166733,1.248913987,-15.80552089,-32.52337313,-0.005642947,Failure
0,2.678571429,0,-0.001213845,,,,,,0.018166733,0.901457006,-19.76618598,-38.78313867,0.000121887,Failure
0,0.428571429,0,-0.000319927,,,,,,0.019727876,1.570140046,-12.08906205,-26.64956751,-0.008741228,Failure
0,0.428571429,0,-0.000319927,,,,,,0.019727876,1.430361454,-13.71290829,-29.21603399,-0.006538317,Failure
0,0.857142857,0,-0.000594123,,,,,,0.021981693,0.721558783,-21.79553982,-41.99049473,0.00348292,Failure
0,0.642857143,0,-0.000462838,,,,,,0.021981693,0.581780191,-23.36119383,-44.46497872,0.006908456,Failure
0,0.75,0,-0.000529947,,,,,,0.023419157,1.674026159,-10.87717374,-24.73418468,-0.012367227,Failure
0,0.535714286,0,-0.000392823,,,,,,0.023419157,1.326569178,-14.91198161,-31.11114449,-0.008172816,Failure
0,1.285714286,0,-0.000820971,,,,,,0.024134242,2.004415309,-6.987720434,-18.56271576,-0.012736653,Elastic
0,0.857142857,0,-0.000594123,,,,,,0.024134242,1.864636717,-8.633215044,-21.18765514,-0.010171365,Failure
0,1.071428571,0,-0.000713572,,,,,,0.024801023,0.272786785,-26.78994189,-49.88403619,0.014537288,Failure
0,1.178571429,0,-0.00076879,,,,,,0.024801023,0.133008193,-28.32496016,-52.31009434,0.017906527,Failure
0,0.964285714,0,-0.00065534,,,,,,0.026094685,0.479589873,-24.499926,-46.26471888,0.009885202,Failure
0,1.285714286,0,-0.000820971,,,,,,0.026094685,0.827046854,-20.60722439,-40.11238437,0.002017206,Failure
0,2.571428571,0,-0.001202725,,,,,,0.028649998,2.109368666,-6.063966981,-16.5749126,-0.019279703,Elastic
0,2.142857143,0,-0.001126318,,,,,,0.028649998,1.761911684,-9.842715984,-23.09918123,-0.021486234,Failure
0,2.357142857,0,-0.00117092,,,,,,0.02944154,0.027038149,-29.48135174,-54.13772268,0.024428973,Failure
0,2.464285714,0,-0.00118842,,,,,,0.02944154,0.37449513,-25.66636056,-48.10823669,0.014089533,Failure
0,2.25,0,-0.001150219,,,,,,0.04158589,1.289768879,-15.33580968,-31.7809872,-0.011470871,Failure
0,2.142857143,0,-0.001126318,,,,,,0.044261418,0.871361003,-20.10601194,-39.32022724,0.00152774,Failure
0,2.142857143,0,-0.001126318,,,,,,0.045950064,2.162233871,-5.609090142,-15.58321777,-0.032254566,Elastic
0,1.714285714,0,-0.000998822,,,,,,0.047420121,2.971750758,1.298815728,-0.509594589,-0.00364717,Elastic
0,1.928571429,0,-0.001068929,,,,,,0.052069155,1.721652129,-10.32049364,-23.85424731,-0.027373197,Failure
0,2.035714286,0,-0.001099219,,,,,,0.066654625,0.451563229,-24.81035905,-46.75527681,0.027290318,Failure
0,1.821428571,0,-0.001035459,,,,,,0.068358607,2.673480298,-1.381607026,-5.997259054,-0.044151217,Elastic
0,1.714285714,0,-0.000998822,,,,,,0.068358607,2.781540197,-0.449547459,-3.990246095,-0.033538043,Elastic
0,1.285714286,0,-0.000820971,,,,,,0.068358607,2.351746045,-4.039193059,-12.03104333,-0.053841253,Elastic
0,1.5,0,-0.000916116,,,,,,0.068358607,2.459805945,-3.154972655,-10.0004978,-0.053949186,Elastic
0,1.607142857,0,-0.000959035,,,,,,0.070001479,0.400544785,-25.37588185,-47.64904366,0.03210794,Failure
0,1.392857143,0,-0.000870087,,,,,,0.071783111,1.140303445,-17.04771774,-34.48662765,-0.011738871,Failure
0,1.714285714,0,-0.000998822,,,,,,0.071783111,1.032243546,-18.2799459,-36.434157,-0.006335288,Failure
0,0.857142857,0,-0.000594123,,,,,,0.085103848,2.588247319,-2.097710897,-7.590275504,-0.0619858,Elastic
0.068554193,2.888058,2.3503E-07,-0.001226436,,,,,,0.085103848,2.838257654,0.052285044,-2.944407313,-0.032878802,Elastic
0.068554193,2.888058,2.3503E-07,-0.001226436,,,,,,0.085103848,2.292684084,-4.523581437,-13.14009565,-0.06535385,Elastic
0.068554193,2.566629429,5.11876E-07,-0.001202144,,,,,,0.085103848,2.542694419,-2.474646591,-8.444116642,-0.064557905,Elastic
0.068554193,2.780915143,3.10112E-07,-0.001221497,,,,,,0.089367224,1.214915102,-16.19266891,-33.13519859,-0.019849564,Failure
0.068554193,2.673772286,4.03818E-07,-0.001213406,,,,,,0.089367224,0.964904766,-19.04440414,-37.64237397,-0.003142189,Failure
0.068554193,2.566629429,5.11876E-07,-0.001202144,,,,,,0.092537273,1.555206141,-12.26046913,-26.92016396,-0.042832116,Failure
0.068554193,2.245200858,8.81216E-07,-0.00114921,,,,,,0.092537273,1.447146242,-13.51661232,-28.90557895,-0.036211006,Failure
0.068554193,2.459486572,6.30102E-07,-0.001187697,,,,,,0.103109221,0.73822303,-21.60365649,-41.68719595,0.015817307,Failure
0.068554193,2.352343715,7.54492E-07,-0.001170054,,,,,,0.103109221,0.630163131,-22.8157987,-43.60291302,0.026050553,Failure
0.068554193,2.245200858,8.81216E-07,-0.00114921,,,,,,0.1090951,1.249330527,-15.79714132,-32.51002233,-0.026926635,Failure
0.071988496,0.925601684,1.57691E-06,-0.000633571,,,,,,0.10923809,2.264473993,-4.754946567,-13.66905255,-0.082346552,Elastic
0.071988496,1.247030256,1.69374E-06,-0.000802473,,,,,,0.11047644,2.861034104,0.253004737,-2.52612477,-0.037549345,Elastic
0.071988496,1.139887399,1.67945E-06,-0.000749193,,,,,,0.111348917,0.939552435,-19.33035811,-38.09432017,-0.001551383,Failure
0.071988496,1.032744541,1.64072E-06,-0.000692883,,,,,,0.113206155,2.010532466,-6.925724416,-18.45222787,-0.065764892,Elastic
0.071988496,1.247030256,1.69374E-06,-0.000802473,,,,,,0.113206155,1.902472567,-8.180089506,-20.47071191,-0.062023419,Failure
0.071988496,0.925601684,1.57691E-06,-0.000633571,,,,,,0.115205361,1.626469481,-11.42850303,-25.60498507,-0.05713549,Failure
0.092802039,1.340465271,2.17516E-06,-0.000846438,,,,,,0.115205361,1.376459145,-14.33374613,-30.19701153,-0.03941629,Failure
0.092802039,1.340465271,2.17516E-06,-0.000846438,,,,,,0.116333814,0.214897076,-27.42030138,-50.87972111,0.074508288,Failure
0.092802039,1.661893842,1.98481E-06,-0.000979743,,,,,,0.116333814,0.106837177,-28.60452127,-52.75116061,0.08703846,Failure
0.092802039,1.554750985,2.07391E-06,-0.000938422,,,,,,0.128367032,0.81932397,-20.6878654,-40.23982072,0.010963011,Failure
0.092802039,1.447608128,2.1381E-06,-0.00089398,,,,,,0.128367032,0.569313635,-23.49342385,-44.67378286,0.039375373,Failure
0.092802039,1.661893842,1.98481E-06,-0.000979743,,,,,,0.13050869,1.345459236,-14.68997569,-30.75999757,-0.041844518,Failure
0.103404235,0.523597065,1.5951E-06,-0.000384707,,,,,,0.13749956,2.668640079,-1.430778641,-6.087609111,-0.089592759,Elastic
0.103404235,0.523597065,1.5951E-06,-0.000384707,,,,,,0.13749956,2.454965726,-3.195878163,-10.09157182,-0.108664795,Elastic
0.103404235,0.845025636,2.17276E-06,-0.000586994,,,,,,0.139339604,1.66658874,-10.95703066,-24.85948483,-0.071193742,Failure
0.103404235,0.630739922,1.824E-06,-0.000455048,,,,,,0.140937327,2.088349731,-6.223412789,-16.95109747,-0.079465331,Elastic
0.103404235,0.737882779,2.01673E-06,-0.000522485,,,,,,0.140937327,1.838339395,-8.941730331,-21.67411648,-0.075748259,Failure
0.103404235,0.845025636,2.17276E-06,-0.000586994,,,,,,0.14367036,0.856653411,-20.26491893,-39.57136916,0.007772541,Failure
0.113530058,2.117296718,1.70683E-06,-0.001120124,,,,,,0.14438776,1.101288317,-17.48813622,-35.18266369,-0.019929085,Failure
0.113530058,1.795868146,2.25426E-06,-0.001026984,,,,,,0.144831144,0.02277645,-29.51735941,-54.19316494,0.120945433,Failure
0.113530058,2.117296718,1.70683E-06,-0.001120124,,,,,,0.144831144,0.272786785,-26.77952035,-49.8667894,0.084568231,Failure
0.113530058,2.010153861,1.90479E-06,-0.001092262,,,,,,0.155510591,2.132882428,-5.849807763,-16.12999266,-0.102046016,Elastic
0.113530058,1.903011003,2.0888E-06,-0.001061211,,,,,,0.160665203,1.804425471,-9.339192737,-22.30191202,-0.088228859,Failure
0.113530058,1.795868146,2.25426E-06,-0.001026984,,,,,,0.162533994,0.545704495,-23.75201453,-45.08232746,0.053188862,Failure
0.116666667,0,0,0,,,,,,0.162742214,2.976203347,1.309362591,-0.429096807,-0.010554717,Elastic
0.116666667,0.321428571,1.20531E-06,-0.000244161,,,,,,0.164320384,1.301735401,-15.19008492,-31.55035306,-0.046388086,Failure
0.116666667,0.107142857,4.33706E-07,-8.42E-05,,,,,,0.174539662,2.581986357,-2.158260032,-7.70766204,-0.127927553,Elastic
0.116666667,0.214285714,8.36494E-07,-0.000165579,,,,,,0.174539662,2.6922181,-1.238554902,-5.648231291,-0.10875492,Elastic
0.116666667,0.321428571,1.20531E-06,-0.000244161,,,,,,0.174539662,2.426201713,-3.430745071,-10.63205972,-0.138530244,Elastic
0.119355389,3,3.12633E-07,-0.001228233,,,,,,0.174539662,2.536433457,-2.532405641,-8.561647165,-0.132987455,Elastic
0.137108387,2.776116001,6.24796E-07,-0.001221174,,,,,,0.174892332,0.913323719,-19.62042503,-38.55276571,0.001687024,Failure
0.137108387,2.776116001,6.24796E-07,-0.001221174,,,,,,0.178998106,0.294730545,-26.53208416,-49.47537569,0.100878998,Failure
0.137108387,2.561830287,1.03229E-06,-0.001201542,,,,,,0.181564762,2.219421368,-5.121936811,-14.51318584,-0.131053612,Elastic
0.137108387,2.668973144,8.14391E-07,-0.001212944,,,,,,0.183283429,1.164447909,-16.76284679,-34.03624905,-0.033287377,Failure
0.137108387,2.561830287,1.03229E-06,-0.001201542,,,,,,0.183283429,1.054216165,-18.02031707,-36.02377366,-0.018735062,Failure
0.137108387,2.347544572,1.5199E-06,-0.001169167,,,,,,0.18613361,1.502365843,-12.86983673,-27.88252459,-0.07841635,Failure
0.137108387,2.454687429,1.27013E-06,-0.001186952,,,,,,0.187373473,2.888377373,0.477071605,-2.025511376,-0.052656957,Elastic
0.137108387,2.347544572,1.5199E-06,-0.001169167,,,,,,0.198673904,2.397991623,-3.659397152,-11.16207783,-0.157659504,Elastic
0.143976991,0.994060511,3.24428E-06,-0.000671784,,,,,,0.199912254,2.71499455,-1.051639973,-5.224489904,-0.118587488,Elastic
0.143976991,1.208346226,3.38583E-06,-0.000783557,,,,,,0.203011305,1.198863334,-16.36649457,-33.40971935,-0.042041646,Failure
0.143976991,1.101203368,3.33977E-06,-0.00072918,,,,,,0.205265122,1.028863834,-18.30556704,-36.47461697,-0.016674125,Failure
0.143976991,1.208346226,3.38583E-06,-0.000783557,,,,,,0.205743428,1.743392993,-10.06893699,-23.45451747,-0.109038789,Failure
0.143976991,0.994060511,3.24428E-06,-0.000671784,,,,,,0.207398499,0.726002097,-21.72692358,-41.88188967,0.035337592,Failure
0.160725047,0.424654366,2.10411E-06,-0.000317175,,,,,,0.221507342,0.443909318,-24.87343925,-46.85401748,0.094304416,Failure
0.160725047,0.424654366,2.10411E-06,-0.000317175,,,,,,0.224326673,0.400932299,-25.3493358,-47.6059394,0.104584206,Failure
0.164790535,1.301781241,3.87798E-06,-0.000828479,,,,,,0.227707923,1.984753267,-7.207955484,-18.93135746,-0.130037257,Failure
0.175392731,0.913484463,3.8265E-06,-0.000626627,,,,,,0.233999038,0.106837177,-28.58325466,-52.71506205,0.175586798,Failure
0.182084252,2.219640432,2.42135E-06,-0.001143721,,,,,,0.236274919,1.558119034,-12.2183752,-26.85200823,-0.10515923,Failure
